Country,Salary,YearsExperience,Names,Addresse
Canada,53958.7,11.7,Cheryl Thornton,"184 Kevin Neck, Lake Sandrachester, MI 80492"
USA,39461.0,8.5,Sherry Wilson,"4198 Meghan Squares, Randallburgh, WY 73765"
USA,42360.6,7.2,Kyle Ellison,"06390 Diamond Trail, West Marc, RI 25546"
Canada,76919.2,14.4,Karen Galloway,"3162 Tara Centers Apt. 002, East Mitchell, NH 20923"
Senegal,29547.8,3.6,Alexandria Rice,"85065 Diana Summit Apt. 202, East Felicia, LA 69370"
Cameroon,29697.2,2.4,Mark Miller,"84951 Stark Inlet, North Shannonberg, ND 70685"
France,67853.2,12.8,Meghan Morrison,"7228 White Freeway, Kerrtown, FL 19714"
France,41692.6,6.2,Dale Kim,"12984 Jessica Place, South Wendy, CT 33379"
Germany,39531.1,7.1,Lisa Simmons,"795 Tracey Ramp, Curtisstad, TN 18329"
Canada,55029.0,10.2,Ashley Miller,"9266 Saunders Passage Apt. 448, West Matthew, VA 74483"
Belgium,50260.0,12.0,David Andrade,"97783 Howard Route, Taylorfort, WI 54430"
France,32192.2,3.2,Dylan Hernandez,"USCGC Jenkins, FPO AA 39781"
Cameroon,61810.0,14.0,Jordan Alvarado,"924 Brittany Expressway, Pattersonmouth, CA 41669"
France,32266.8,4.1,Dennis Jones,"646 Rodriguez Springs, Lake Michaelton, NE 93880"
Congo,50511.5,12.1,John Cobb,"6523 Stephen Neck Apt. 422, Kendraside, PA 64190"
Belgium,37822.4,7.6,Melissa Simmons,"79160 Sullivan Junctions, Katiechester, DC 35350"
Canada,40388.6,5.2,Kathleen Klein,"108 Nicholas Hollow, North Miranda, WI 15339"
Kenya,42517.4,5.6,Courtney Martin MD,"342 Jamie Street Suite 675, Ronaldchester, KY 91094"
Rwanda,60601.9,9.9,Raymond Young,"84960 Danielle Gardens, East Robert, ME 21463"
Canada,79405.8,13.7,Billy Ortiz,"93921 Martin Spring Suite 350, New Brianna, AK 54601"
France,68832.0,11.9,James Harvey,"4110 Jaime Tunnel Suite 854, Sarahfort, VA 16416"
Canada,50611.0,11.2,Roberto Moody,"126 Serrano Trace Apt. 600, Pamelaland, NV 72748"
Congo,44829.6,6.8,Curtis Young,"08521 Jennifer Union, Sharonmouth, VT 14392"
USA,37822.0,7.5,Lauren Owens,"43489 Shirley Prairie, North Cheyennefurt, MT 74656"
France,47831.3,8.9,Dawn Johnson,"Unit 9379 Box 8747, DPO AA 15105"
Congo,33874.0,4.2,Natalie Cline,"44585 Terri Skyway Suite 921, Arnoldmouth, MN 53125"
Belgium,43894.4,9.1,Christopher Barnett,"3317 Conway Heights, Jasonport, FL 62819"
Congo,24413.7,2.9,Meghan Sullivan DVM,"502 Bowman Forks, South Stephaniefurt, ND 40164"
Rwanda,47322.2,7.1,Jason Clarke,"86414 Miller Pine, New Barryfort, OH 82376"
Senegal,45966.6,8.4,Lee Malone,"47251 Jones Views, New Jonathantown, ND 50187"
Rwanda,51923.8,13.4,Joshua Hartman,"4607 Matthews Prairie, Port Brian, AK 50469"
France,33364.0,4.1,Matthew Sanchez,"575 Kevin Shore, Port Robertburgh, RI 92789"
France,39767.0,5.5,Robin Gibson,"260 Holden View Suite 920, Anneland, SD 14071"
Rwanda,21422.9,1.7,Joseph Herrera PhD,"Unit 5770 Box 0153, DPO AP 79520"
France,34416.2,4.4,Madison Wilson,"091 Michael Neck, East Aimee, OK 86588"
Germany,68002.6,14.2,Diana Camacho,"276 Samantha Cove, South Ana, WY 40212"
Germany,21233.3,0.7,James Horton,"875 Glenda View, North Brendanhaven, SD 08100"
Cameroon,69989.8,11.9,Michael Rios,"8092 Smith Fields, North Katherineland, MA 79080"
Congo,30082.0,3.2,Eric Wood PhD,"67039 Smith Lock, North Jamieville, MT 10226"
Congo,27697.5,3.5,Nicole Douglas,"2980 Nicole Pine, Aliciamouth, KY 44125"
Canada,44252.0,8.0,Julie Day,"4062 Johnathan Glens, Lake Carrie, SD 33980"
Canada,38909.4,6.8,Jennifer Mata,"0515 Michelle Fields, North Gregorystad, KS 79248"
Congo,60519.8,13.9,Justin Rodriguez MD,"0328 Obrien Divide Suite 656, Lake Ashleehaven, VT 85853"
Cameroon,28689.0,4.2,Kathleen Hooper,"6457 Charles Plaza, North Timothyburgh, IN 57667"
USA,49672.8,7.8,Sean Boyd,"7583 Johns Falls, Toddberg, GA 04646"
Rwanda,43617.5,6.9,Stephanie Brown MD,"738 Jessica Expressway, Carrollview, CT 74449"
Senegal,28008.8,2.8,Micheal Coleman,"PSC 3202, Box 5615, APO AA 97251"
